Operator name,Line name,Color
東日本旅客鉄道,伊東線,#f68b1e
東日本旅客鉄道,信越線,#378640
東日本旅客鉄道,八戸線,#e93920
東日本旅客鉄道,八高線,#a8a39d
東日本旅客鉄道,内房線,#00b2e5
東日本旅客鉄道,北上線,#851a72
東日本旅客鉄道,北陸新幹線,#0072ba
東日本旅客鉄道,南武線,#ffd400
東日本旅客鉄道,只見線,#008dd1
東日本旅客鉄道,吾妻線,#0f5474
東日本旅客鉄道,外房線,#db4028
東日本旅客鉄道,大湊線,#f1aa28
東日本旅客鉄道,大糸線,#9370db
東日本旅客鉄道,大船渡線,#f18e44
東日本旅客鉄道,奥羽線,#378640
東日本旅客鉄道,小海線,#41934c
東日本旅客鉄道,山手線,#9acd32
東日本旅客鉄道,山田線,#cd7a1e
東日本旅客鉄道,川越線,#00ac9a
東日本旅客鉄道,左沢線,#0073bf
東日本旅客鉄道,常磐線,#00b261
東日本旅客鉄道,弥彦線,#922790
東日本旅客鉄道,成田線,#005aaa
東日本旅客鉄道,日光線,#880022
東日本旅客鉄道,東北新幹線,#008000
東日本旅客鉄道,東北線,#00b2e5
東日本旅客鉄道,東海道線,#f68b1e
東日本旅客鉄道,東金線,#f15a22
東日本旅客鉄道,根岸線,#00b2e5
東日本旅客鉄道,横浜線,#80c342
東日本旅客鉄道,横須賀線,#378640
東日本旅客鉄道,武蔵野線,#f15a22
東日本旅客鉄道,気仙沼線,#3b459b
東日本旅客鉄道,水戸線,#378640
東日本旅客鉄道,水郡線,#368c44
東日本旅客鉄道,津軽線,#15a2c4
東日本旅客鉄道,烏山線,#339966
東日本旅客鉄道,田沢湖線,#9d72b0
東日本旅客鉄道,男鹿線,#36823e
東日本旅客鉄道,白新線,#f387b7
東日本旅客鉄道,相模線,#009793
東日本旅客鉄道,石巻線,#ed77a4
東日本旅客鉄道,磐越東線,#378640
東日本旅客鉄道,磐越西線,#cb7b35
東日本旅客鉄道,篠ノ井線,#d56a29
東日本旅客鉄道,米坂線,#9e7eb9
東日本旅客鉄道,総武線,#ffd400
東日本旅客鉄道,羽越線,#378640
東日本旅客鉄道,花輪線,#aa1e30
東日本旅客鉄道,赤羽線,#378640
東日本旅客鉄道,越後線,#40934d
東日本旅客鉄道,釜石線,#0073bf
東日本旅客鉄道,陸羽東線,#888888
東日本旅客鉄道,陸羽西線,#6fbf7f
東日本旅客鉄道,青梅線,#f15a22
東日本旅客鉄道,飯山線,#7bc24b
東日本旅客鉄道,高崎線,#378640
東日本旅客鉄道,鶴見線,#ffd400
東日本旅客鉄道,鹿島線,#c56e2e
東武鉄道,亀戸線,#0067c0
東武鉄道,伊勢崎線,#0067c0
東武鉄道,佐野線,#ed1a3d
東武鉄道,大師線,#0067c0
東武鉄道,宇都宮線,#0067c0
東武鉄道,小泉線,#ed1a3d
東武鉄道,日光線,#880022
東武鉄道,東上本線,#004098
東武鉄道,桐生線,#ed1a3d
東武鉄道,越生線,#004098
東武鉄道,野田線,#695faa
東武鉄道,鬼怒川線,#0067c0
東海交通事業,城北線,#008000
東海旅客鉄道,中央線,#019a66
東海旅客鉄道,参宮線,#ff7e1c
東海旅客鉄道,名松線,#ff7e1c
東海旅客鉄道,太多線,#c7b944
東海旅客鉄道,御殿場線,#447442
東海旅客鉄道,東海道新幹線,#0072ba
東海旅客鉄道,東海道線,#f68b1e
東海旅客鉄道,武豊線,#8c5837
東海旅客鉄道,紀勢線,#00a6b4
東海旅客鉄道,身延線,#753a97
東海旅客鉄道,関西線,#00b178
東海旅客鉄道,飯田線,#6ca2d6
東海旅客鉄道,高山線,#0072ba
東葉高速鉄道,東葉高速線,#3fb036
松浦鉄道,西九州線,
横浜シーサイドライン,金沢シーサイドライン,#f68b1e
横浜市,1号線,#093f86
横浜市,3号線,#093f86
横浜市,4号線,#00a15a
横浜高速鉄道,みなとみらい21線,#09357f
樽見鉄道,樽見線,#00b2e5
比叡山鉄道,比叡山鉄道線,#b00000
水島臨海鉄道,水島本線,#3b82c5
水間鉄道,水間線,#87ceeb
江ノ島電鉄,江ノ島電鉄線,#f6be18
沖縄都市モノレール,沖縄都市モノレール線,#e70f3f
泉北高速鉄道,泉北高速鉄道線,#007fff
津軽鉄道,津軽鉄道線,#ffa500
流鉄,流山線,
湘南モノレール,江の島線,
熊本市,上熊本線,#0072ba
熊本市,健軍線,#0072ba
熊本市,幹線,#f62e36
熊本市,水前寺線,#0072ba
熊本市,田崎線,#0072ba
熊本電気鉄道,菊池線,#fbb
熊本電気鉄道,藤崎線,#fbb
甘木鉄道,甘木線,#ff0000
由利高原鉄道,鳥海山ろく線,#ff0000
皿倉登山鉄道,帆柱ケーブル線,#999999
相模鉄道,いずみ野線,#041452
相模鉄道,本線,#66cc33
相模鉄道,相鉄新横浜線,#041452
真岡鐵道,真岡線,#438152
神戸市,北神線,#9a6e5f
神戸市,山手線,#00ae8e
神戸市,海岸線,#267dce
神戸市,西神延伸線,#267dce
神戸市,西神線,#267dce
神戸新交通,ポートアイランド線,#07502b
神戸新交通,六甲アイランド線,#07502b
神戸電鉄,三田線,#006ab8
神戸電鉄,公園都市線,#006ab8
神戸電鉄,有馬線,#006ab8
